price;area;bathroom;bedroom;latitude;longtitude;cleaningfee
3400000000;31;3;3;209804342;1057880155;30000
2900000000;31;3;4;209757396;10578937;30000
2500000000;31;2;3;209804342;1057880155;30000
3000000000;31;3;3;209660302;1057582699;30000
3000000000;31;3;3;209757396;10578937;30000
2500000000;31;4;3;209791537;1057962032;30000
3800000000;31;2;3;209579937;1057631942;30000
3900000000;31;3;3;209660302;1057582699;30000
3000000000;31;3;3;209641152;1057619568;30000
3900000000;31;3;3;209660302;1057582699;30000
3950000000;31;2;3;209686922;1057611004;30000
4000000000;31;4;3;209560561;1057659269;30000
4400000000;32;4;3;209471727;1057224982;30000
4400000000;32;4;3;20951491;1057571501;30000
3900000000;32;4;3;209394853;105732676;30000
3100000000;32;3;3;209540586;1057409852;30000
2900000000;32;3;3;209471727;1057224982;30000
3400000000;32;3;3;209471727;1057224982;30000
3600000000;32;4;3;2093708;1057673942;30000
3400000000;32;4;2;209471727;1057224982;30000
3500000000;32;3;3;20951491;1057571501;30000
3400000000;32;3;3;209446776;1057591229;30000
3900000000;32;3;3;209446776;1057591229;30000
3090000000;32;4;2;209537667;1057325338;30000
3094000000;32;3;3;209537667;1057325338;30000
3800000000;32;3;3;209537667;1057325338;30000
3200000000;32;3;3;209446776;1057591229;30000
4500000000;32;4;2;209537667;1057325338;30000
3200000000;32;4;3;209537667;1057325338;30000
3450000000;32;4;3;209537667;1057325338;30000
3700000000;32;4;3;209537667;1057325338;30000
3900000000;32;3;3;209537667;1057325338;30000
3100000000;32;3;3;209471727;1057224982;30000
3200000000;32;3;4;209540586;1057409852;30000
2980000000;32;3;3;209537667;1057325338;30000
3100000000;32;3;3;209801945;1057746786;30000
4900000000;32;3;3;209446776;1057591229;30000
2900000000;32;3;4;209446776;1057591229;30000
3650000000;32;2;3;209560561;1057659269;30000
3200000000;32;3;3;209540586;1057409852;30000
3850000000;32;3;3;209471727;1057224982;30000
4100000000;32;3;3;209537667;1057325338;30000
3850000000;32;4;3;209537667;1057325338;30000
3250000000;32;1;3;209711523;105779009;30000
3200000000;32;5;3;209528073;1057850022;30000
3120000000;32;4;3;2093708;1057673942;30000
4600000000;32;4;3;209643701;1057673354;30000
3550000000;32;2;3;209456141;1057512671;30000
3900000000;32;3;3;209540586;1057409852;30000
4000000000;32;4;3;209624436;1057684146;30000
4490000000;32;5;3;209624436;1057684146;30000
4550000000;32;4;4;209540586;1057409852;30000
4800000000;32;4;3;209791537;1057962032;30000
3200000000;32;1;3;209363221;105760058;30000
3380000000;32;4;3;209426712;1057541892;30000
4000000000;32;4;3;2093708;1057673942;30000
2900000000;32;2;3;2093708;1057673942;30000
3000000000;32;2;3;209540586;1057409852;30000
3350000000;32;3;3;209528073;1057850022;30000
3800000000;32;4;3;209537667;1057325338;30000
4730000000;32;5;4;209471727;1057224982;30000
3900000000;32;3;3;209614602;1057996296;30000
3800000000;32;3;3;209790672;1057455337;30000
2800000000;32;3;3;209643701;1057673354;30000
3200000000;32;2;3;209537667;1057325338;30000
3850000000;32;4;3;209528073;1057850022;30000
3400000000;32;3;3;209786876;105771796;30000
3200000000;32;3;3;209540586;1057409852;30000
3100000000;32;4;4;20965193;1057842685;30000
3250000000;32;4;3;209682401;1057768843;30000
3650000000;32;3;3;209624436;1057684146;30000
3200000000;32;2;3;20965193;1057842685;30000
5100000000;32;4;3;209567104;1057936155;30000
